FacName,FacStreet,FacCity,FacState,FacZip,RegistryID,FacEPARegion,FacSICCodes,FacNAICSCodes,FacCurrSNCFlg,FacQtrsInNC,FacInspectionCount,FacPopDen,FacPercentMinority,FacFormalActionCount,geometry,complete,lon,lat
COLD CANYON LANDFILL SOLID WASTE DS,2268 CARPENTER CANYON ROAD,SAN LUIS OBISPO,CA,93401,110001173989,09,2879 4953 9511,562212 336399,N,1,2,130.19,11.457,2,POINT (-120.59792 35.18417),0,-120.59792,35.18417
COLEBROOK MUNICIPAL LANDFILL,SKYLINE DR,COLEBROOK,NH,03576,110040500160,01,,562212,N,0,1,76.07,3.016,0,POINT (-71.47971 44.88016),0,-71.47971,44.88016
COLLIER ROAD LANDFILL,575 COLLIER RD,AUBURN HILLS,MI,48326,110012611888,05,4953,562212,N,0,0,1840.84,54.211,0,POINT (-83.291167 42.687393),0,-83.291167,42.687393
COLO SPGS TRANSFER STATION,1965 COMMERCIAL BLVD,COLORADO SPRINGS,CO,80906,110046291446,08,4212 4953,562111 562212,N,2,0,3455.54,42.007,0,POINT (-104.800555 38.804166),0,-104.800555,38.804166
COLORADO BUMPER EXCHANGE,4804 DILLON DRIVE,PUEBLO,CO,81008,110003004070,08,4953,562212 811118,N,0,0,1185.12,46.092,0,POINT (-104.61265 38.32225),0,-104.61265,38.32225
COLORADO DISPOSAL INC,4200 SOUTH GUN CLUB ROAD,AURORA,CO,80018,110009270920,08,4953,562212 562920,N,0,0,1674.57,35.078,0,POINT (-104.709141 39.646081),0,-104.709141,39.646081
COLORADO ENERGY RECYCLERS-TIRE RECYCLING,19755 BOCA RATON HEIGHTS,FOUNTAIN,CO,80817,110046299885,08,4953 1629,562212,N,1,1,24.59,25.436,0,POINT (-104.655 38.544),0,-104.655,38.544
COLORADO INCINERATION SVCS INC,12311 WELD COUNTY ROAD 41,HUDSON,CO,80642,110022507991,08,4953 5093,562212 423930,N,0,1,9.34,23.462,0,POINT (-104.678 40.17863),0,-104.678,40.17863
COLORADO SPRINGS LANDFILL,1010 BLANEY ROAD,COLORADO SPRINGS,CO,80929,110043782136,08,4953,562212,N,0,5,39.08,15.971,1,POINT (-104.572053 38.847491),0,-104.572053,38.847491
COLORADO SPRINGS UTILITIES HANNA RANCH,14390 RAY NIXON ROAD,FOUNTAIN,CO,80817,110001965393,08,4953,562212,N,0,5,15.35,21.963,0,POINT (-104.678649 38.614392),0,-104.678649,38.614392
COLTON REFUSE DISPOSAL SITE,850 TROPICA RANCHO ROAD,COLTON,CA,92324,110012694557,09,,562212,N,0,0,2584.04,79.964,0,POINT (-117.336573 34.045505),0,-117.336573,34.045505
COLUMBIA CNTY. BRD. OF COUNTY COMMMISSI,1347 NW OOSTERHOUDT LN,LAKE CITY,FL,32055,110039629042,04,4953,562212 562219,N,0,2,101.17,25.251,0,POINT (-82.70282 30.25352),0,-82.70282,30.25352
COLUMBIA COUNTY CLASS IV LANDFILL,41 COLUMBIA ROAD 246,MAGNOLIA,AR,71753,110069220382,06,4953,562212,N,2,0,101.73,83.724,0,POINT (-93.243111 33.219889),0,-93.243111,33.219889
COLUMBIA RIDGE LANDFILL AND RECYCLING CENTER,18177 CEDAR SPRINGS LN,ARLINGTON,OR,97812,110002059904,10,4953,221118 562212 562211,N,11,3,0.22,16.667,0,POINT (-120.254986 45.623963),0,-120.254986,45.623963
COLUMBIA SANITARY LANDFILL,5700 PEABODY ROAD,COLUMBIA,MO,65202,110001467449,07,4953 2875 5541 4226,562212,Y,5,5,449.48,23.896,2,POINT (-92.253083 39.019611),0,-92.253083,39.019611
COLUMBUS COUNTY LANDFILL,LAND FILL RD,WHITEVILLE,NC,28472,110013975939,04,4953,562212,N,0,0,188.17,41.852,0,POINT (-78.75282 34.293491),0,-78.75282,34.293491
COMM ENV SYS LANDFILL,99 COMMONWEALTH AVENUE,HEGINS,PA,17938,110034159693,03,4953,562212 562219,N,0,7,89.39,1.317,0,POINT (-76.38261 40.67014),0,-76.38261,40.67014
COMM REFUSE SVC INC/CUMBERLAND CNTY LDFL,142 VAUGH ROAD,SHIPPENSBURG,PA,17257,110001062386,03,4953,562212 999999,N,1,5,97.15,2.362,0,POINT (-77.505833 40.138333),0,-77.505833,40.138333
COMM REFUSE SVC INC/CUMBERLAND CNTY LDFL,135 VAUGHN RD,SHIPPENSBURG,PA,17257,110041117788,03,4953,562212,N,0,4,96.06,2.357,0,POINT (-77.49970999999999 40.13436),0,-77.49971,40.13436
COMMONWEALTH ENV SYS/FOSTER TWP,ROUTE 25,HEGINS,PA,17923,110060120328,03,4953,562212,N,1,4,0.0,0.0,0,POINT (-76.324297 40.670046),0,-76.324297,40.670046
CONCORD TURNPIKE REGIONAL LANDFILL,2525 CONCORD TURNPIKE,LYNCHBURG,VA,24506,110002373191,03,,562212 562111 56292 562119,N,0,0,622.49,57.967,0,POINT (-79.10975500000001 37.391841),0,-79.109755,37.391841
CONIGLIO CONSTRUCTION AND DEMOLITION DEB,11981 NORTH WILLIAMS ROAD,THONOTOSASSA,FL,33592,110001418449,04,8999,562211 5416 999999 562213 562219 562212,N,0,0,894.81,37.121,0,POINT (-82.33536700000001 28.061316),0,-82.335367,28.061316
CONSERVATION SERVICES INC,41800 EAST 88TH AVE,BENNETT,CO,80102,110002982023,08,4953,562212,N,2,1,13.77,27.792,0,POINT (-104.50064 39.85419),0,-104.50064,39.85419
CONTRACT ENVIONMENTAL SERVICES,NORTH EAST OF ANETH,ANETH,UT,84510,110032596590,08,4953,562212,N,0,0,0.72,85.0,0,POINT (-109.096499 37.396383),0,-109.096499,37.396383
CONTRACTORS RECYCLING SERVICE,201 STATE ST,CHICAGO HEIGHTS,IL,60411,110063232513,05,4953,562212,N,0,0,1937.87,68.414,0,POINT (-87.61651999999999 41.52956),0,-87.61652,41.52956
CONWAY LANDFILL & MRF,4550 HIGHWAY 64 W,CONWAY,AR,72032,110043816127,06,2875 4953,562212 92411,N,0,4,785.2,17.681,0,POINT (-92.505612 35.118996),0,-92.505612,35.118996
COOK COUNTY,"TOWNSHIP 62, RANGE 2E, SECTION 29",GRAND MARAIS,MN,55604,110021315414,05,,562212,N,0,0,0.86,8.333,0,POINT (-90.27330000000001 47.855499),0,-90.2733,47.855499
COOLEY LANDING,2100 BAY ROAD,EAST PALO ALTO,CA,94303,110038724529,09,,562212,N,0,0,4301.02,60.762,0,POINT (-122.124901 37.475424),0,-122.124901,37.475424
COPPER MOUNTAIN LANDFILL,34853 E COUNTY 12TH ST.,WELLTON,AZ,85356,110041015120,09,4953,562212 562111,N,0,4,3.08,17.857,0,POINT (-114.039174 32.649535),0,-114.039174,32.649535
"COPPER RIDGE LANDFILL, LLC, COPPER RIDGE LANDFILL",530 COPPER RIDGE ROAD,WELCH,WV,24801,110037606677,03,4953,562212,N,0,2,0.0,0.0,0,POINT (-81.577517 37.434961),0,-81.577517,37.434961
CORDOVA CY OF BALER SITE,MI 1.2 WHITESHED RD,CORDOVA,AK,99574,110007918860,10,,562212,N,0,0,0.07,0.0,0,POINT (-144.918361 61.459677),0,-144.918361,61.459677
"CORNEJO & SONS, LLC",4250 W 37TH ST N,WICHITA,KS,67205,110017527096,07,4953,562212,N,6,3,1171.15,27.171,1,POINT (-97.39269 37.75239),0,-97.39269,37.75239
CORONADO GENERATING STATION,"7 MI NE OF ST JOHNS, AZ OFF HWY 191/PO BOX 1018",SAINT JOHNS,AZ,85936,110017431242,09,4911,221112 562212 221111,N,2,4,0.36,0.0,0,POINT (-109.270892 34.578127),0,-109.270892,34.578127
CORRAL FARM LANDFILL,6438 COLLEGE ST,WARRENTON,VA,20187,110070102346,03,,562212,N,0,0,328.95,25.019,0,POINT (-77.781892 38.68133),0,-77.781892,38.68133
CORRALITOS LANDFILL,14535 ROBERT LARSON BLVD,LAS CRUCES,NM,88004,110070029139,06,,562212,N,0,0,8.08,66.055,0,POINT (-107.027915 32.258796),0,-107.027915,32.258796
CORRALITOS REGIONAL LANDFILL,14535 ROBERT LARSON BLVD,LAS CRUCES,NM,88005,110043793687,06,4953,562212,Y,1,0,8.08,66.055,0,POINT (-107.027915 32.258796),0,-107.027915,32.258796
CORTLANDVILLE TOWN OF SOUTH HILL DUMP,SOUTH HILL RD,CORTLANDVILLE,NY,13073,110043190686,02,,562212,N,0,0,0.0,0.0,0,POINT (-76.347264 42.592041),0,-76.347264,42.592041
COSHOCTON LANDFILL,19469 CR #7,COSHOCTON,OH,43812,110041079515,05,,562212,N,0,2,125.5,3.259,0,POINT (-81.82445 40.22111),0,-81.82445,40.22111
COSHOCTON LANDFILL INC  *,19469 CO RD 7,COSHOCTON,OH,43812,110015830591,05,4953,562212,N,6,2,146.97,3.332,0,POINT (-81.82599999999999 40.223),0,-81.826,40.223
COTTAGE ST LANDFILL GAS RECOVERY SYSTEM,399 COTTAGE ST,SPRINGFIELD,MA,01104,110024308738,01,,562212,N,0,0,3479.2,53.146,0,POINT (-72.53689799999999 42.140164),0,-72.536898,42.140164
COTTONWOOD HILLS RECYCLING & DISPOSAL FACILITY,10400 HILLSTOWN RD,MARISSA,IL,62257,110010577768,05,4953 9999,562212 212312,N,0,2,103.56,2.661,0,POINT (-89.783418 38.263429),0,-89.783418,38.263429
COUGAR LANDFILL,NORTH OF EAST MOUNT HOUSTON RO,HOUSTON,TX,77050,110030747556,06,,562212,N,0,0,0.0,0.0,0,POINT (-95.294044 29.901604),0,-95.294044,29.901604
COUNTRYSIDE LANDFILL,31725 IL ROUTE 83,GRAYSLAKE,IL,60030,110013929954,05,4953,562212,N,0,2,1299.51,20.062,1,POINT (-88.024902 42.321899),0,-88.024902,42.321899
COUNTY ENVIRONMENTAL LANDFILL OF CLARION,344 WALLEY RUN DRIVE,LEEPER,PA,16233,110034158685,03,4953,562212,N,2,9,38.11,1.67,0,POINT (-79.28512000000001 41.39047),0,-79.28512,41.39047
COUNTY ENVIRONMENTAL OF WYANDOT SANITARY,11164 COUNTY ROAD 4,CAREY,OH,43316,110030738799,05,4953,562212,N,6,5,35.18,1.207,0,POINT (-83.3288 40.9107),0,-83.3288,40.9107
COUNTY LINE LANDFILL,7922 NORTH OLD US HWY 31,ARGOS,IN,46501,110001963117,05,4953,562212,N,0,3,29.72,4.502,0,POINT (-86.2325 41.166962),0,-86.2325,41.166962
COUNTY OF  DEPARTMENT PUBLIC WORKS,300 100TH ST,BYRON CENTER,MI,49315,110015902175,05,,562212 56221,Y,12,2,211.37,5.474,1,POINT (-85.678889 42.775556),0,-85.678889,42.775556
COUNTY OF ROSCOMMON LANDFILL,3401 LANDFILL RD,HIGGINS LAKE,MI,48627,110008438431,05,,562212,N,0,0,0.0,0.0,0,POINT (-84.77941 44.487287),0,-84.77941,44.487287
COUNTY OF SANTA BARBARA-TAJIGUAS LANDFIL,4700 HIGHWAY 101 23 MILES WEST SANTA BARBARA,GAVIOTA,CA,93117,110013905738,09,4911,562212,N,0,2,3.97,32.743,0,POINT (-120.070094 34.524526),0,-120.070094,34.524526
COUNTY SANITATION DISTRICTS OF LA CO,34318 23RD AVE,KETTLEMAN CITY,CA,93239,110070063384,09,,562212,N,0,0,0.0,0.0,0,POINT (-119.94854 35.979188),0,-119.94854,35.979188
COUNTYWIDE RECYCLING AND DISPOSAL FACILITY,3619 GRACEMONT AVENUE SOUTHWEST,EAST SPARTA,OH,44626,110009429877,05,4953,562212,N,7,3,157.07,1.779,0,POINT (-81.423749 40.666666),0,-81.423749,40.666666
COURTNEY RIDGE LANDFILL,2001 N M291 HWY,SUGAR CREEK,MO,64054,110010427573,07,1629 4953,562212,N,0,2,955.84,16.593,0,POINT (-94.38995 39.14345),0,-94.38995,39.14345
COVANTA BABYLON ENERGY,125 GLEAM STREET,WEST BABYLON,NY,11704,110028041349,02,4953,562213 562212,N,1,4,3832.56,44.001,0,POINT (-73.3836 40.7349),0,-73.3836,40.7349
COVANTA RESOURCE RECOVERY FACILITY,100 RECOVERY WAY,HAVERHILL,MA,01835,110009023065,01,,562212 562213 333999 811111,N,0,2,2374.48,22.204,0,POINT (-71.124025 42.7654),0,-71.124025,42.7654
COVE CONTRACTORS,3242 S EL DORADO ST,STOCKTON,CA,95206,110014014565,09,,562212,N,0,0,3144.91,91.321,0,POINT (-121.27768 37.91623),0,-121.27768,37.91623
COVEL GARDENS LANDFILL GAS POWER STATION,8611 COVEL RD.,SAN ANTONIO,TX,78252,110021081862,06,,562212 221122 221119,N,0,5,1352.29,79.945,0,POINT (-98.64637 29.34358),0,-98.64637,29.34358
COWLITZ COUNTY LANDFILL,85 TENNANT WAY,LONGVIEW,WA,98632,110005365050,10,4953,562212 92614,N,7,0,1078.56,18.254,0,POINT (-122.905601 46.107229),0,-122.905601,46.107229
CRAIGHEAD COUNTY SOLID WASTE DISPOSAL AUTHORITY (SWDA),328 COUNTY ROAD 476,JONESBORO,AR,72404,110022407956,06,,562212 92411,N,0,3,74.1,5.286,1,POINT (-90.684793 35.71958),0,-90.684793,35.71958
CRAIGHEAD COUNTY SWDA,328 CR 476 HWY 1,JONESBORO,AR,72404,110034186958,06,4953,562212,N,5,0,68.53,6.03,0,POINT (-90.69416699999999 35.705278),0,-90.694167,35.705278
"CRANE DIVISION, NAVAL SURFACE WARFARE CENTER (NSWC CRANE)",300 HWY 361,CRANE,IN,47522,110000403359,05,9711 2899 3489,928110 92811 562212 325998 332995,N,11,15,6.5,6.63,0,POINT (-86.848305 38.841611),0,-86.848305,38.841611
CRAPO HILL LANDFILL,300 SAMUEL BARNET BLVD,DARTMOUTH,MA,02714,110024371080,01,,562212 221112 221119,N,4,3,455.31,13.736,1,POINT (-70.98475000000001 41.724511),0,-70.98475,41.724511
CRAWFORD COUNTY LANDFILL,5128 LINCOLN HIGHWAY EAST,BUCYRUS,OH,44820,110009673790,05,4953,562212,N,3,2,55.79,1.574,0,POINT (-82.867333 40.813216),0,-82.867333,40.813216
CRAZY HORSE SANITARY LANDFILL,350 CRAZY HORSE CANYON ROAD,SALINAS,CA,93907,110017973095,09,4953 4911,562920 562212 221122 562998,N,0,5,261.28,41.034,0,POINT (-121.6186 36.8026),0,-121.6186,36.8026
CRESCENT ACRES LANDFILL,6599 FLORIDA AVE,NEW ORLEANS,LA,70117,110003313897,06,,562212,N,0,0,1795.34,68.771,0,POINT (-89.99852 29.97371),0,-89.99852,29.97371
CRESCENT CITY LANDFILL,HIGHTS ACCESS ROAD OFF OLD MIL,CRESCENT CITY,CA,95531,110041525427,09,,562212,N,0,0,0.93,11.538,0,POINT (-123.891333 41.691108),0,-123.891333,41.691108
CRISP COUNTY US 41S MSW LANDFILL,3354 US HWY 41 SOUTH,CORDELE,GA,31015,110007073718,04,4953,562212,N,0,0,38.75,22.304,1,POINT (-83.750495 31.87051),0,-83.750495,31.87051
CRISTAL USA INC - ASHTABULA COMPLEX PLANT 2,2426 MIDDLE RD,ASHTABULA,OH,44004,110000385066,05,2816,325131 325130 32518 562212 325188 32513,N,5,4,973.39,19.161,2,POINT (-80.763715 41.889223),0,-80.763715,41.889223
CRITTENDEN COUNTY LANDFILL,1299 KUHN ROAD,WEST MEMPHIS,AR,72301,110006625447,06,1442 4953,562212 212321,N,5,0,85.4,45.118,0,POINT (-90.255194 35.139639),0,-90.255194,35.139639
CROSSRIDGE INC LANDFILL,FERNWOOD ROAD,STEUBENVILLE,OH,43952,110009821933,05,4953,562212,Y,1,1,372.14,6.713,0,POINT (-80.687639 40.336722),0,-80.687639,40.336722
CROSSROADS LANDFILL,357 MERCER RD,NORRIDGEWOCK,ME,04957,110008437290,01,4953,562212,N,0,2,65.56,2.977,0,POINT (-69.847255 44.712556),0,-69.847255,44.712556
CROUSE-HINDS,635 7TH NORTH ST,SYRACUSE,NY,13208,110054854261,02,,562212,N,0,0,3088.21,24.68,0,POINT (-76.173834 43.093967),0,-76.173834,43.093967
CSC DISPOSAL AND LANDFILL,101 REPUBLIC WAY,AVALON,TX,76623,110008142198,06,,562212,N,0,0,22.01,40.96,0,POINT (-96.78750100000001 32.223334),0,-96.787501,32.223334
CULLMAN ENVIRONMENTAL WASTE MANAGEMENT CENTER,2805 AL HIGHWAY 69 S,CULLMAN,AL,35057,110043810524,04,4953,562212,N,2,0,79.37,3.323,0,POINT (-86.89960000000001 34.0244),0,-86.8996,34.0244
CUMBERLAND CNTY IMPROVEMENT AUTH SOLID WASTE COMPLEX,169 JESSES BRIDGE RD,DEERFIELD,NJ,08313,110001982560,02,8999,562212,N,0,3,197.95,40.277,3,POINT (-75.09314999999999 39.45253),0,-75.09315,39.45253
CUMBERLAND COUNTY - WILKES ROAD LANDFILL,779 WILKES ROAD,FAYETTEVILLE,NC,28306,110024867660,04,4953,562212,N,0,2,829.01,54.796,0,POINT (-78.875895 35.023656),0,-78.875895,35.023656
CUMBERLAND COUNTY ANN STREET LANDFILL,638 ANN STREET,FAYETTEVILLE,NC,28301,110001499637,04,4953 9999,562212,N,4,7,1121.71,62.313,1,POINT (-78.87009999999999 35.0639),0,-78.8701,35.0639
CUSTER COUNTY LANDFILL,2250 RD 328,WESTCLIFFE,CO,81252,110056140493,08,4953,562212,N,1,2,10.89,7.372,0,POINT (-105.3832 38.08162),0,-105.3832,38.08162
CUYAHOGA REGIONAL LANDFILL,6640 COCHRAN ROAD,SOLON,OH,44139,110028051818,05,,562212,N,1,3,1426.92,42.104,0,POINT (-81.474372 41.379045),0,-81.474372,41.379045
"CWMI, KHF (MSW LANDFILL B-19)",35251 OLD SKYLINE RD.,KETTLEMAN CITY,CA,93239,110000481443,09,4953,562211 562212 562998,N,6,19,0.1,33.333,10,POINT (-120.00865 35.95943),0,-120.00865,35.95943
D E KARN & J C WEADOCK GENERATING PLANTS,2742 NORTH WEADOCK HIGHWAY,ESSEXVILLE,MI,48732,110000593171,05,4911,221112 221121 562212,N,10,6,864.32,7.708,1,POINT (-83.840328 43.64403),0,-83.840328,43.64403
D&L LANDFILL INC,900 WILLARD ST,GREENVILLE,IL,62246,110018126348,05,4953,562212,N,0,0,278.5,20.485,0,POINT (-89.41898999999999 38.88494),0,-89.41899,38.88494
D-K ENTERPRISES C&DD FACILITY,12505 E GYPSY LN RD,BOWLING GREEN,OH,43402,110024560321,05,,562212,N,0,0,1053.53,15.171,0,POINT (-83.64095500000001 41.353479),0,-83.640955,41.353479
DAFTER SANITARY LANDFILL INC,3962 WEST 12 MILE ROAD,DAFTER,MI,49724,110007271781,05,4953,562212,N,1,3,25.8,16.179,0,POINT (-84.444 46.3358),0,-84.444,46.3358
DAKOTA MUNICIPAL SOLID WASTE LANDFILL,7972 129TH AVENUE SE,GWINNER,ND,58040,110041189558,08,4953,562212,N,1,2,22.71,3.555,0,POINT (-97.69506 46.258482),0,-97.69506,46.258482
DALLAS COUNTY SOLID WASTE AUTHORITY TRANSFER STATION,2487 HWY 8 WEST,FORDYCE,AR,71742,110046330608,06,4953,562212,N,0,0,4.35,11.475,0,POINT (-92.527807 33.864947),0,-92.527807,33.864947
DANC SOLID WASTE MANAGEMENT FACILITY,23400 STATE ROUTE 177,RODMAN,NY,13682,110007155121,02,4953 4911,562212 221112,N,1,10,25.46,3.199,0,POINT (-75.90396 43.82506),0,-75.90396,43.82506
DANE COUNTY LANDFILL SITE #2 RODEFELD,7102 EAST BROADWAY STREET,MADISON,WI,53704,110002036546,05,4953,562212,N,0,3,581.95,13.571,0,POINT (-89.255 43.045),0,-89.255,43.045
DARLINGTON COUNTY COURTHOUSE,1 PUBLIC SQUARE MAIN LOBBY,DARLINGTON,SC,29532,110016968487,04,4953,562212,N,0,0,489.49,54.483,0,POINT (-79.87192 34.30379),0,-79.87192,34.30379
DARTMOUTH WASTEWATER TREATMENT PLANT,759 RUSSELLS MILLS RD,DARTMOUTH,MA,02748,110001942293,01,9511 4952,562212 924110,N,9,0,705.34,8.463,0,POINT (-70.99212900000001 41.590099),0,-70.992129,41.590099
DAUPHIN MEADOWS INC/MILLERSBURG MUNI WASTE LDFL,3035 ROUTE 209,MILLERSBURG,PA,17061,110041045295,03,4953,562212,N,0,2,161.56,2.26,0,POINT (-76.90000000000001 40.55),0,-76.9,40.55
DAUPHIN MEADOWS LANDFILL,3035 ROUTE 209,MILLERSBURG,PA,17061,110010415309,03,4953,562212,N,0,4,109.28,2.261,0,POINT (-76.904213 40.546074),0,-76.904213,40.546074
DAVID MILLS,P.O. BOX 1201,NORTH CAROLINA,NC,27959,110046466267,04,9999,562212,N,0,0,0.0,0.0,0,POINT (-75.613344 35.931582),0,-75.613344,35.931582
DAVIDSON COUNTY LANDFILL & RECYCLING FACILITY,220 DAVIDSON CO. LANDFILL RD,LEXINGTON,NC,27292,110006670860,04,4953,562212,N,0,1,227.98,3.86,0,POINT (-80.17472600000001 35.833712),0,-80.174726,35.833712
DAVIDSON COUNTY MUNICIPAL SOLID WASTE LANDFILL,1160 OLD US HIGHWAY 29,THOMASVILLE,NC,27360,110067010488,04,4953,562212,N,0,2,218.8,3.959,0,POINT (-80.177492 35.852911),0,-80.177492,35.852911
DAVIESS CO FISCAL COURT,7772 HWY 815,OWENSBORO,KY,42301,110006655949,04,4953,562212 562211,N,8,7,34.54,1.66,0,POINT (-87.288111 37.667889),0,-87.288111,37.667889
DAVIS ENERGY RECOVERY FACILITY,P O BOX 900,LAYTON,UT,84041,110037276122,08,4953,562212,N,0,0,2181.39,19.722,0,POINT (-111.9558 41.103509),0,-111.9558,41.103509
DBB ADAMS LLC,2991 W HAMLIN RD,ROCHESTER HILLS,MI,48309,110003616105,05,,562212,N,0,1,1911.2,24.797,0,POINT (-83.192466 42.648095),0,-83.192466,42.648095
DCEC/DELAWARE CO SOLID WASTE MGMT CTR,32230 ST RTE 10,WALTON,NY,13856,110019322829,02,4953 4911,999999 562212,N,0,0,22.98,4.16,0,POINT (-75.053214 42.160257),0,-75.053214,42.160257
DE SOLID WASTE AUTHORITY SOUTHERN,"RD 20, JONES CROSS ROADS/ RD 1",GEORGETOWN,DE,19947,110041195328,03,4953,562212,N,1,3,55.46,11.746,0,POINT (-75.445419 38.588692),0,-75.445419,38.588692
"DE SOLID WASTE AUTHORITY, CHERRY ISLAND",1706 E 12TH STREET,WILMINGTON,DE,19809,110007354308,03,4953,562212,N,1,2,4228.25,71.756,0,POINT (-75.517487 39.732754),0,-75.517487,39.732754
DEANS BRIDGE RD MSW LANDFILL,4330 DEANS BRIDGE RD,BLYTHE,GA,30805,110038104164,04,4953,562212,N,1,6,286.85,73.188,0,POINT (-82.14409999999999 33.35271),0,-82.1441,33.35271
DECATUR COUNTY MUNICIPAL SOLID WASTE LANDFILL,324 LANDFILL LANE,BATH SPRINGS,TN,38311,110062732173,04,4953,562212,N,0,5,14.11,6.085,0,POINT (-88.077522 35.479833),0,-88.077522,35.479833
DECATUR COUNTY SOLID WASTE FACILITY,104 MINE LOOP ROAD,ATTAPULGUS,GA,39815,110063745069,04,4953,562212,N,0,0,34.76,70.915,0,POINT (-84.4838 30.749082),0,-84.4838,30.749082
DECATUR HILLS LF,2090 SOUTH CR 280 EAST,GREENSBURG,IN,47240,110001367191,05,4953,562212,N,0,3,46.85,3.472,0,POINT (-85.417 39.3),0,-85.417,39.3
DECO-RANGE ROAD ASH DISPOSAL,3660 RANGE ROAD,EAST CHINA,MI,48054,110006740410,05,4911,562212,N,0,0,487.91,3.632,0,POINT (-82.493194 42.792908),0,-82.493194,42.792908
DEER TRACK PARK LANDFILL,N6756 WALDMANN LANE,WATERTOWN,WI,53094,110013863140,05,4953,562212,N,0,3,138.23,9.282,0,POINT (-88.744231 43.091345),0,-88.744231,43.091345
DEERCROFT RECYCLING AND DISPOSAL FACILITY (RDF),10501 WEST 300 NORTH,MICHIGAN CITY,IN,46360,110040921474,05,4953,562212,N,0,5,316.99,25.787,0,POINT (-86.90338 41.65144),0,-86.90338,41.65144
"DEFFENBAUGH INDUSTRIES, INC.",2601 MID-WEST DR,KANSAS CITY,KS,66111,110024524086,07,4953,562212,N,0,1,661.54,15.873,0,POINT (-94.78822 39.05311),0,-94.78822,39.05311
DEFIANCE COUNTY SANITARY LANDFILL,13207 CANAL ROAD,DEFIANCE,OH,43512,110034171054,05,,562212,N,12,3,296.25,16.153,0,POINT (-84.41227000000001 41.251852),0,-84.41227,41.251852
DEKALB COUNTY LANDFILL,18370 SOMONAUK ROAD,DEKALB,IL,60115,110001336000,05,4953,562212 339999,N,0,2,179.25,21.306,0,POINT (-88.685484 41.897846),0,-88.685484,41.897846
DELAWARE CNTY SWA/ROLLING HILLS MUNI WASTE LDFL,578 LONGVIEW ROAD,BOYERTOWN,PA,19512,110001212241,03,4953,562212,N,0,5,176.74,2.782,0,POINT (-75.71605 40.36135),0,-75.71605,40.36135
"DELAWARE RECYCLABLE PRODUCTS, INC",198 MARSH LANE,NEW CASTLE,DE,19720,110001736426,03,4953,562212 562920,N,1,3,3631.83,59.542,0,POINT (-75.569244 39.710513),0,-75.569244,39.710513
"DELAWARE SOLID WASTE AUTHORITY, PIGEON POINT",1101 LAMBSON LANE,NEW CASTLE,DE,19720,110001409565,03,4953,562212,N,0,1,2292.8,71.809,0,POINT (-75.53283999999999 39.70551),0,-75.53284,39.70551
DELILAH ROAD LANDFILL SITE,"DELILAH RD & DOUGHTY RD, SW INTERSECTION",EGG HARBOR CITY,NJ,08234,110069427070,02,4953,562212,N,0,1,1652.5,62.213,1,POINT (-74.53964000000001 39.41622),0,-74.53964,39.41622
DELTA COUNTY - ADOBE BUTTES LANDFILL,1221 TRAP CLUB ROAD,ORCHARD CITY AREA,CO,81418,110064529050,08,4953,562212,N,0,1,87.95,13.855,0,POINT (-107.99646 38.82492),0,-107.99646,38.82492
DELTA SOLID WASTE MANAGEMENT AUTHORITY,5701 19TH AVENUE NORTH,ESCANABA,MI,49829,110000852792,05,,562212 92119 42393,N,1,5,259.03,6.036,0,POINT (-87.131 45.764722),0,-87.131,45.764722
DELTA SUGAR CORP LANDFILL,WILLOW AVENUE,CLARKSBURG,CA,95612,110008262511,09,,562212,N,0,0,183.78,64.935,0,POINT (-121.53127 38.41902),0,-121.53127,38.41902
DEM-CON COMPANIES LLC,13020 DEM-CON DR,IOWA,IA,55379,110045440661,07,4953,562212,N,0,0,526.9,21.213,0,POINT (-93.58512 44.75965),0,-93.58512,44.75965
DENTON TWP WWTP,2615 LEVEL PARK DR,PRUDENVILLE,MI,48651,110006739912,05,,562212,N,5,2,231.11,4.043,0,POINT (-84.66051400000001 44.287629),0,-84.660514,44.287629
DENVER ARAPAHOE DISPOSAL SITE-A WASTE MANAGEMENT COMPANY,3500 SOUTH GUN CLUB ROAD,AURORA,CO,80018,110013690817,08,4953 3295,562212,N,2,0,1679.53,35.429,0,POINT (-104.71626 39.64582),0,-104.71626,39.64582
DENVER REGIONAL LANDFILL,1441 COUNTY ROAD 6,ERIE,CO,80516,110001391690,08,4953,562212 999999,Y,12,7,633.99,16.115,5,POINT (-105.027726 40.024535),0,-105.027726,40.024535
DEPT. OF PUBLIC WORKS - BORDEAUX LANDFILL,1400 COUNTY HOSPITAL RD,NASHVILLE,TN,37218,110001861771,04,4953,562212,N,0,5,1866.99,68.933,0,POINT (-86.849326 36.182841),0,-86.849326,36.182841
DES MOINES COUNTY REGIONAL SANITARY LANDFILL,13758 WASHINGTON ROAD,WEST BURLINGTON,IA,52655,110002352258,07,4953,562212,N,0,0,205.09,8.578,0,POINT (-91.193123 40.836987),0,-91.193123,40.836987
DESERT SIENA QUARRY,UNKNOWN,FERRON,UT,UNKNO,110030924748,08,1411,562212,N,0,0,0.03,0.0,0,POINT (-111.058502 39.030808),0,-111.058502,39.030808
DESOTO PARISH POLICE JURY - MUNDY SANITARY LANDFILL,2712 HWY 84 EAST,MANSFIELD,LA,71052,110011151724,06,4953,562213 562212,Y,7,1,14.3,40.201,1,POINT (-93.590889 32.057376),0,-93.590889,32.057376
